id,freq,tesla,fib_mode,ops,base_val,result,yin,yang,balance,resonance,score,theta_deg,phi_deg,spin_theta_deg,torus_x,torus_y,torus_z,hash16
713,1008,3,classic,- * sqrt ^2,3025,6048.0,2,2,1.0,1.0,1.03,288.0,180.0,216.0,-2.3090169943749475,2.8277302713381215e-16,-0.9510565162951536,2bef4444b9ddb2340fe1cb46c93ccd06
57,1008,6,seed_36,+ ^2 - sqrt,6150,6150.999918712404,2,2,1.0,0.983255,1.018278,30.999918712403996,119.99999999999999,185.99951227442398,-1.4285840157022025,2.474380098076991,0.5150368588152643,46e0b67ad01b90cb6f425c97a2661f5f
389,1008,6,seed_36,sqrt ^2 sqrt ^2,7179,7179.000000000001,2,2,1.0,0.982867,1.018007,339.0000000000009,239.99999999999997,297.0000000000027,-1.466790213248605,-2.540555173391369,-0.35836794954528584,97a870bf796a9d6be11d0591370015ca
235,1008,6,seed_69,/ * + -,7878,7878.0,2,2,1.0,0.977455,1.014218,318.0,300.0,150.00000000000003,1.3715724127386972,-2.3756331051232533,-0.6691306063588581,4d7ee911ca4717e41661c75a9ed8cb64
487,1008,3,seed_69,sqrt ^2 - *,4155,8308.0,2,2,1.0,0.970631,1.009442,28.0,190.0,168.0,-2.839149140975354,-0.5006185958092165,0.4694715627858908,24a86c8753a541192020ec4aa46e51a5
534,1008,3,seed_36,+ + / /,4155,1039.25,2,2,1.0,0.96993,1.008951,319.25,130.0,353.2499999999999,-1.7725286048675224,2.1124173328268725,-0.6527597524627228,2aa91784a0aaa905b28a63d917720c20
128,1008,3,seed_36,sqrt - + ^2,3723,3723.0,2,2,1.0,0.966962,1.006873,123.00000000000001,150.0,18.000000000000103,-1.2603795673532217,0.7276804824924864,0.8386705679454239,077e1591c9c60ab6ae67568f23abeb0f
649,576,9,classic,* - * sqrt,5187,144.03471803700663,2,2,1.0,0.999759,0.999831,144.03471803700663,90.0,0.1735901850331059,7.290487656449348e-17,1.1906269891899068,0.5872949253758326,0c22bb31058afd67ecea95ac1c8ceba6
715,432,9,classic,- + / +,4032,2017.0,2,2,1.0,0.999504,0.999653,217.0,100.0,153.00000000000006,-0.2086147543940488,1.1831130638989829,-0.6018150231520484,99854bc837c52bad687bdbaa642fe044
336,576,9,classic,sqrt ^2 / *,5187,5186.999999999999,2,2,1.0,0.999422,0.999595,146.9999999999991,200.0,146.9999999999991,-1.0912926976031831,-0.3971980587996264,0.5446390350150403,6aa8ac019c3f45d182bd9facb0d3cbd8
697,720,6,classic,/ sqrt ^2 +,4321,2161.5,2,2,1.0,0.999306,0.999514,1.5000000000000002,100.0,7.500000000000001,-0.5208850281072644,2.9540857900157893,0.026176948307873153,1787c2aba4eca03bd82e03dbba479c3d
418,864,6,classic,/ + - *,5189,5189.0,2,2,1.0,0.999036,0.999325,149.0,230.0,173.99999999999997,-0.7345986990533051,-0.8754606387118089,0.5150380749100544,2699da656c18cbdbf1e76146033c62a9
615,288,6,classic,sqrt ^2 * /,1730,1730.0000000000002,2,2,1.0,0.998844,0.999191,290.0000000000002,110.0,160.00000000000185,-0.8010180650918497,2.20077904641509,-0.9396926207859071,3b98c3651c4784fc621410844aba4766
478,864,6,seed_36,/ sqrt ^2 *,5190,5190.0,2,2,1.0,0.998844,0.999191,150.0,150.0,90.0,-0.9820508075688772,0.5669872981077805,0.49999999999999994,1622b26e811f7602ba2bdc5733e607c1
89,720,6,seed_36,+ / - +,4326,2163.5,2,2,1.0,0.998382,0.998868,3.5,119.99999999999999,42.0,-1.4990673992109327,2.596460899403474,0.06104853953485687,e82bc52d3be6be9e3ab12fe7bb2660a9
527,864,6,seed_36,/ * + /,5193,2597.0,2,2,1.0,0.998075,0.998652,77.0,230.0,308.0,-1.4301709698912386,-1.7044113913918286,0.9743700647852352,9f9c2c8acb6935f56a76479106716347
671,576,6,seed_36,/ * - *,3465,6928.0,2,2,1.0,0.997691,0.998383,88.0,250.00000000000003,352.0,-0.6959766175155202,-1.9121800410922993,0.9993908270190958,391ef02159f26a811f587b9a40a2de44
19,144,3,seed_69,/ - * *,864,1724.0,2,2,1.0,0.997691,0.998383,284.0,140.0,284.0,-1.7174118100308906,1.4410796163764257,-0.9702957262759966,2591c253ab9054508ee41b723391e786
464,288,9,classic,+ ^2 sqrt /,2597,1299.0,2,2,1.0,0.997691,0.998383,219.00000000000003,210.00000000000003,15.000000000000085,-1.0590226624986583,-0.6114270192715147,-0.6293203910498376,ad2b5da185e91cb0c4e7cdbae9e2dff7
532,288,6,classic,+ * / /,1731,866.0,2,2,1.0,0.997691,0.998383,146.0,200.0,19.99999999999998,-1.100344752287582,-0.40049273726369755,0.5591929034707469,d546f9ca9c24a5f858e95daf2ac58d32
193,1008,3,seed_36,+ + - /,3291,1646.0,2,2,1.0,0.954696,0.998287,206.0,170.0,106.00000000000033,-1.084476160867783,0.19122240709612368,-0.43837114678907746,554eecb8132c798e318595fa854d3279
463,432,6,classic,/ / + *,2595,1299.5,2,2,1.0,0.997307,0.998115,219.5,210.00000000000003,219.5,-1.0638043161705277,-0.6141877083061401,-0.636078220277764,7d48c7090f394f3f6081c2ddaa5b12bd
258,720,6,classic,+ - ^2 sqrt,4333,4333.0,2,2,1.0,0.997,0.9979,13.0,130.0,91.0,-1.9118882242664987,2.278499659908164,0.224951054343865,4d69772e489d534a045e2cab76e65ef0
7,432,6,seed_36,- * / *,2601,5200.0,2,2,1.0,0.996923,0.997846,160.0,70.0,119.99999999999986,0.3626464818080679,0.9963630200123277,0.3420201433256689,6034da8b5c7e05bc4aa458a2483b910b
447,432,9,seed_69,/ * sqrt ^2,5019,5019.0,2,2,1.0,0.995851,0.997095,339.0,150.0,191.99999999999986,-2.540555173391365,1.4667902132486006,-0.35836794954530077,c291d065b89f67488df5ff2d22256fe5
25,576,6,seed_36,- + ^2 sqrt,4587,4587.0,2,2,1.0,0.995463,0.996824,267.0,239.99999999999997,267.0,-0.9738320218785287,-1.6867265399311362,-0.9986295347545738,2ae90667629a66ff25093343b5bed690
551,288,6,classic,* / + -,1736,1736.0,2,2,1.0,0.995392,0.996774,296.0,170.0,168.00000000000003,-2.4013268100791523,0.4234187061155462,-0.898794046299167,2dbc3d061c87abcbee2ab28b33ccfecb
301,576,3,seed_69,+ - + -,1737,1737,2,2,1.0,0.994819,0.996373,297.0,180.0,216.0,-2.4539904997395467,3.00527161064405e-16,-0.891006524188368,22f398f431d62f5480ded5e44bbb7965
37,432,3,classic,^2 sqrt - *,1304,2606.0,2,2,1.0,0.994628,0.996239,86.0,140.0,70.00000000000003,-1.5855254453212178,1.3304138163912271,0.9975640502598242,73f594924e8f45b6202d8f4fe2b2337c
9,576,6,seed_69,^2 ^2 sqrt sqrt,3621,3621.0,2,2,1.0,0.9942,0.99594,21.0,119.99999999999999,63.0,-1.4667902132486001,2.540555173391365,0.35836794954530027,71589e6f696d79cb4ea9557631674825
539,144,3,classic,- ^2 sqrt +,435,435.0,2,2,1.0,0.993103,0.995172,75.0,119.99999999999999,150.0,-1.12940952255126,1.9561946756108908,0.9659258262890683,a8387b30553ae0a84b2fc0cde8697893
243,720,3,seed_69,sqrt ^2 * /,2859,2859.0,2,2,1.0,0.992761,0.994933,339.0,239.99999999999997,254.9999999999998,-1.4667902132486021,-2.540555173391364,-0.35836794954530077,ccfc4312e160550afe1b35be1fb0e5d0
331,576,9,seed_69,+ - sqrt ^2,5223,5222.999999999999,2,2,1.0,0.992533,0.994773,182.9999999999991,110.0,23.99999999999281,-0.34248887004533196,0.9409804368640782,-0.05233595624292804,3f2c5a1311af00159eadeb71a4d39043
93,864,3,seed_36,- + - *,2859,5716,2,2,1.0,0.992419,0.994693,316.0,190.0,316.0,-2.6780269184481735,-0.4722084007859613,-0.6946583704589976,aedd4bc45a37fdec75334f9f133b6cac
450,432,6,classic,- * * /,2613,5224.0,2,2,1.0,0.992343,0.99464,184.0,130.0,216.0,-0.6443534079973435,0.7679104888811568,-0.06975647374412527,e440eeb25050ef20cb674963ea4df60c
419,720,6,seed_69,/ ^2 sqrt *,4359,4359.0,2,2,1.0,0.991053,0.993737,39.0,210.00000000000003,351.0,-2.405078952639096,-1.3885729807284857,0.6293203910498374,81f2f295bc95785a82976daeab0212ba
254,720,6,seed_69,/ * / +,4359,2180.5,2,2,1.0,0.990598,0.993419,20.5,110.0,102.5,-1.0044010430672423,2.759569185903918,0.35020738125946743,376a9eebb3b9a9873db0f63e20a01e4f
696,144,9,classic,/ * - +,1309,1309.0,2,2,1.0,0.990069,0.993048,229.0,130.0,130.00000000000006,-0.8638686043149986,1.0295185127217454,-0.754709580222772,faf921790711c6c8e0390bae39b59f6f
369,144,9,classic,+ * - /,1309,1309.5,2,2,1.0,0.989691,0.992784,229.50000000000003,130.0,198.0000000000001,-0.868118060771332,1.0345828177201535,-0.7604059656000312,4a85ed854bc99e253b911b4c4d8ec5c4
688,432,3,seed_69,- * - +,1995,3988,2,2,1.0,0.989205,0.992444,28.0,280.0,196.00000000000003,0.5006185958092151,-2.839149140975354,0.4694715627858908,36dad9eef7288cc071f443987f0c8566
261,576,9,seed_69,+ sqrt / ^2,5247,1312.0000000000002,2,2,1.0,0.987805,0.991463,232.00000000000023,70.0,56.00000000000181,0.4734716606203643,1.3008526963061329,-0.7880107536067242,fb6125f3eff7fb570521b382717edd65
472,432,6,classic,+ / sqrt ^2,2626,1313.5,2,2,1.0,0.986677,0.990674,233.49999999999997,80.0,87.49999999999996,0.2440064623797252,1.3838294139633676,-0.8038568606172171,41b97fe00d93cb0ed545983aefe7ebde
560,864,3,seed_36,* - sqrt ^2,2631,5261.000000000001,2,2,1.0,0.985364,0.989755,221.0000000000009,140.0,50.0000000000091,-0.9539478061396528,0.8004572522941583,-0.6560590289905192,eab84968469c12dbdd823dfc14200f2a
584,432,6,seed_69,/ - + +,2631,1316.5,2,2,1.0,0.984428,0.9891,236.5,110.0,328.5,-0.4952667198281697,1.3607341293352553,-0.8338858220671681,c69015df92004c3dab171160462a07aa
459,864,3,seed_36,- / + +,2631,1317.0,2,2,1.0,0.984055,0.988838,237.00000000000003,119.99999999999999,210.00000000000037,-0.7276804824924862,1.2603795673532217,-0.838670567945424,25607b1d44cf687324b6a95fb91546ed
92,576,3,seed_69,^2 sqrt * -,1830,3659.0,2,2,1.0,0.983875,0.988713,59.00000000000001,230.0,112.00000000000006,-1.6166353124420696,-1.9266309415174987,0.8571673007021123,c7509079e7c0b340ba781dd696ca3142
624,288,3,seed_69,* ^2 sqrt /,879,879.0,2,2,1.0,0.982935,0.988055,159.0,239.99999999999997,117.00000000000006,-0.5332097867513996,-0.9235464417463896,0.3583679495453002,265dec10cdbfc29089adde5e50c82c7b
622,864,9,classic,- + / *,7920,7920.0,2,2,1.0,0.982456,0.987719,0.0,180.0,0.0,-3.0,3.6739403974420594e-16,0.0,d79f1df0d1904534c7c897a100bd72db
91,144,6,seed_69,- * + -,1131,2260,2,2,1.0,0.981261,0.986882,100.0,100.0,140.00000000000006,-0.3171426657268148,1.7986054343615818,0.984807753012208,50702e454e90ab3cca4c441b5810d81c
604,144,6,seed_36,* - - *,1131,4520,2,2,1.0,0.981261,0.986882,200.0,110.0,80.00000000000001,-0.36264648180806774,0.9963630200123278,-0.34202014332566866,b6eb6b2c1846573b824834fc547f2e5c
209,144,6,seed_69,* - * -,1029,4113,2,2,1.0,0.980306,0.986214,153.0,90.0,297.00000000000006,6.790626552140066e-17,1.1089934758116322,0.45399049973954686,71aacbf1f8a50be2becfccf0b22a3f1e
339,720,6,classic,/ sqrt + ^2,4325,2256.5053761886916,2,2,1.0,0.979802,0.985862,96.50537618869157,150.0,289.5161285660747,-1.6339332103817852,0.9433517788517929,0.9935612291967594,d35db27e0788c3663e29e26e524f1e4a
537,864,3,classic,- + sqrt ^2,2647,2647.0,2,2,1.0,0.979222,0.985455,127.00000000000001,190.0,127.00000000000001,-1.3769434053450573,-0.24279227327092615,0.7986355100472927,c05c10a92301223a14e3d7ad368d8160
718,864,3,seed_69,* - / *,2655,5309.0,2,2,1.0,0.976455,0.983519,269.0,170.0,82.99999999999993,-1.9524282408562592,0.3442657767601237,-0.9998476951563913,1b64133bf4bbd939cf18d0ae68c742fa
117,1008,3,seed_69,+ + / /,3189,797.75,2,2,1.0,0.928783,0.980148,77.75,230.0,155.5,-1.4219603980873754,-1.694626412947322,0.9772311064626789,47c625fbfd4f8bcd0dd9784d02946262
275,144,3,seed_69,^2 sqrt * -,699,1397.0,2,2,1.0,0.971005,0.979703,317.0,200.0,290.0000000000003,-2.5666329181678105,-0.9341779845008844,-0.6819983600624983,7050168bfd3704bf9f8935929fa91de6
241,432,9,seed_69,/ - + +,4155,2078.5,2,2,1.0,0.96993,0.978951,278.50000000000006,170.0,312.5000000000002,-2.115179360073026,0.3729631902185396,-0.9890158633619168,e71a7fc868ffccdded9a183de629a7b4
319,432,9,seed_36,sqrt ^2 / +,5019,2510.5,2,2,1.0,0.969516,0.978661,350.50000000000006,80.0,246.00000000000017,0.5185630526999333,2.9409172131025905,-0.16504760586067735,fe40c6bf5dea77620240b9995b089966
